query_label,niche_id,niche_title,search_volume_t90,minimum_price,maximum_price,brand_count,score
wireless-high-demand,000fcaa9-7476-434f-b6b6-343ed05b7534,fresh clean threads men,125506,19.13,96.16,2,41835.33
wireless-high-demand,000e138db5aec8208d5bcd8d9de844b4,20x24 picture frame,95140,21.52,72.78,28,3280.69
home-low-competition,000e138db5aec8208d5bcd8d9de844b4,20x24 picture frame,95140,21.52,72.78,28,3280.69
wireless-high-demand,000f62d9-4f80-4227-a2fd-dc4e29c2ad43,yuji itadori cosplay,39315,19.85,55.72,17,2184.17
